Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0304,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-348,22.789,Peri_Urban,2038.9,311.2,City_Core,45,67.5,12,6.0,0.2488,0.0574,0.75,0.1148,False,LP,60,6,0,6,False,,173,8,0.0749,OSRM,route_maps/FDR-348.html
R0305,JANIPUR ↔ CHANNI HIMMAT,UPGRADED_TO_TRUNK,CMP-01,13.732,Urban,937.9,170.0,City_Core,27,40.5,11,5.5,0.8002,0.1506,1.25,0.5943,True,HP,10,17,15,2,True,CMP-01,261,12,0.1911,OSRM,route_maps/CMP-01.html
R0306,JANIPUR ↔ MARJALI,RETAINED_AS_FEEDER,FDR-432,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-432.html
R0307,JANIPUR ↔ MAHAMAYA,RETAINED_AS_FEEDER,FDR-433,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-433.html
R0308,JANIPUR ↔ KULWAL,RETAINED_AS_FEEDER,FDR-219,36.34,Peri_Urban,2917.2,468.0,City_Core,72,108.0,15,7.5,0.5547,0.0893,0.75,0.2415,True,MP,30,16,0,16,False,,490,17,0.1401,OSRM,route_maps/FDR-219.html
R0309,JANIPUR ↔ SIMBAL,RETAINED_AS_FEEDER,FDR-159,11.386,Urban,676.6,125.5,City_Core,22,33.0,3,1.5,0.6514,0.1219,0.75,0.29,True,MP,30,5,0,5,False,,174,7,0.2589,OSRM,route_maps/FDR-159.html
R0310,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-029,9.745,Urban,615.4,114.4,City_Core,19,28.5,6,3.0,0.9375,0.2337,0.75,0.4392,True,MP,30,4,0,4,False,,221,12,0.2824,OSRM,route_maps/FDR-029.html
R0311,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-358,22.592,Peri_Urban,1840.7,291.2,City_Core,45,67.5,7,3.5,0.194,0.0533,0.75,0.0927,False,LP,60,5,0,5,False,,148,7,0.0804,OSRM,route_maps/FDR-358.html
R0312,JANIPUR ↔ PURKHOO MIGRANT CAMP TAKU CHACK,RETAINED_AS_FEEDER,FDR-434,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-434.html
R0313,JANIPUR ↔ BADHORI,RETAINED_AS_FEEDER,FDR-274,46.262,Regional_District,3347.5,565.6,City_Core,92,138.0,15,7.5,0.4848,0.0713,0.75,0.2085,True,MP,90,7,0,7,False,,553,17,0.1047,OSRM,route_maps/FDR-274.html
