New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-080,BAHU FORT ↔ BANTALAB OLD MOHALLA,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,231,True
FDR-255,BAHU FORT ↔ NAGROTA,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,167,True
FDR-182,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,219,True
FDR-275,BAKSHI NAGAR ↔ HIRA CHAK GADLA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,681,True
FDR-183,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,Urban,MP,30,7,0,7,False,,219,True
FDR-422,BAKSHI NAGAR PULI ↔ AGHORE,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,118,True
FDR-059,BAKSHI NAGAR PULI ↔ BARNAI BANTALAB,RETAINED_AS_FEEDER,Urban,MP,30,3,0,3,False,,197,True
FDR-121,BAKSHI NAGAR PULLI ↔ BARNAI,RETAINED_AS_FEEDER,Urban,MP,30,5,0,5,False,,249,True
FDR-423,BAKSHI NAGAR PULLI ↔ GAJANSOO MARH,RETAINED_AS_FEEDER,Urban,MP,30,2,0,2,False,,294,True
FDR-253,BAKSHI NAGAR PULLI ↔ GHO MANHASAN SAAGNI,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,546,True
FDR-200,BAKSHI NAGAR PULLI ↔ MISHRIWALA,RETAINED_AS_FEEDER,Peri_Urban,MP,30,6,0,6,False,,652,True
FDR-237,BAKSHI NAGAR PULLI ↔ AGORE,RETAINED_AS_FEEDER,Urban,MP,30,4,0,4,False,,118,True
FDR-178,BAKSHI NAGAR PULLI ↔ CHAGOLE CHAK,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,617,True
FDR-179,BAKSHI NAGAR PULLI ↔ CHAFFER CHAK,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,617,True
FDR-312,BAKSHI NAGAR PULLI ↔ CHAK JAFFAR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,9,0,9,False,,272,True
FDR-357,BAKSHI NAGAR PULLI JIC ↔ HALKA MARH,RETAINED_AS_FEEDER,Regional_District,MP,90,7,0,7,False,,902,True
FDR-342,BAKSHI NAGAR PULLI NEAR JIC ↔ LALYAL,RETAINED_AS_FEEDER,Peri_Urban,MP,30,8,0,8,False,,157,True
FDR-031,BANTALAB ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,Urban,MP,30,6,0,6,False,,274,True
FDR-091,BANTALAB ↔ SMAILPUR,RETAINED_AS_FEEDER,Peri_Urban,MP,30,10,0,10,False,,487,True
