New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-265,Soura to Qamarwari,RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,8029,False
FDR-550,Safakadal to Jehangir Chowk,RETAINED_AS_FEEDER,Urban,HP,20,3,0,3,0,False,,3521,True
FDR-311,Qamarwari to Pathachowk,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,8443,False
FDR-112,Qamarwari to Dalgate,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,7461,False
FDR-132,Saidakadal to Parimpora,RETAINED_AS_FEEDER,Urban,HP,20,7,0,7,0,False,,7411,False
FDR-159,Lalbazar to Parimpora,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,11139,False
FDR-194,Qamarwari to Hazratbal,RETAINED_AS_FEEDER,Urban,MP,35,5,0,5,0,False,,10336,False
FDR-105,Soura to Jehangir Chowk,RETAINED_AS_FEEDER,Urban,HP,20,5,0,0,5,False,,5950,True
FDR-362,HMT to Jehangir Chowk,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,5756,False
FDR-441,Parimpora to Rangrath,RETAINED_AS_FEEDER,Peri_Urban,LP,35,4,0,4,0,False,,10333,False
FDR-103,Saidakadal to Bypass,RETAINED_AS_FEEDER,Urban,HP,20,7,0,0,7,False,,7107,False
FDR-396,Jehangir Chowk to Panzinara,RETAINED_AS_FEEDER,Peri_Urban,LP,35,4,0,4,0,False,,7605,False
FDR-402,Batamallo to Pantha Chowk,RETAINED_AS_FEEDER,Peri_Urban,LP,35,4,0,4,0,False,,13164,False
FDR-214,Qamarwari to Jehangir Chowk,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,5881,False
FDR-327,Parimpora to Jehangir Chowk,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,11775,False
FDR-256,JVC to Batwara,RETAINED_AS_FEEDER,Urban,MP,35,5,0,5,0,False,,7289,False
FDR-328,LD to Panthachowk,RETAINED_AS_FEEDER,Urban,MP,35,5,0,5,0,False,,8527,True
FDR-099,Hazratbal to Bone Joint Hospital Barzalla,RETAINED_AS_FEEDER,Peri_Urban,HP,20,5,0,5,0,False,,8461,False
FDR-325,Panthachowk to LD,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,8348,True
FDR-433,GBS to LAL Chowk,RETAINED_AS_FEEDER,Peri_Urban,LP,35,4,0,4,0,False,,5797,False
FDR-146,Parimpora to Jawahairnagar,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,7170,True
FDR-001,Qamarwari to Baghi Mehtab,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,16437,False
FDR-168,Jehangir Chowk to Bemina,RETAINED_AS_FEEDER,Urban,MP,35,3,0,3,0,False,,4621,False
FDR-073,Chanapora to Soura,RETAINED_AS_FEEDER,Urban,HP,20,7,0,7,0,False,,8355,False
FDR-185,Parimpora to Humhama,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,10618,False
FDR-339,LD to Pampore,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,10101,True
FDR-075,Batmaloo to Dalgate,RETAINED_AS_FEEDER,Urban,HP,20,4,0,4,0,False,,3314,False
FDR-155,"Hazratbal, Lalbazar",RETAINED_AS_FEEDER,Urban,MP,35,4,0,0,4,False,,8414,False
FDR-195,LD to Parimpora,RETAINED_AS_FEEDER,Urban,MP,35,4,0,4,0,False,,5587,True
FDR-091,Soura to Dalgate,RETAINED_AS_FEEDER,Urban,HP,20,6,0,0,6,False,,6398,False
TRK-032,Soura to Chuntwaliwar,UPGRADED_TO_TRUNK,Urban,HP,20,4,0,4,0,False,,13352,False
FDR-062,Soura to Batamallo,RETAINED_AS_FEEDER,Urban,HP,20,6,0,6,0,False,,8311,False
FDR-331,Rangpora to Soura,RETAINED_AS_FEEDER,Peri_Urban,MP,35,5,0,5,0,False,,7900,False
FDR-516,LD to Budgam,RETAINED_AS_FEEDER,Peri_Urban,MP,35,5,0,5,0,False,,6060,True
FDR-315,Parimpora to Pampore,RETAINED_AS_FEEDER,Peri_Urban,MP,35,5,0,5,0,False,,9687,False
FDR-100,Rangpora to Dalgate,RETAINED_AS_FEEDER,Peri_Urban,HP,20,5,0,5,0,False,,8214,False
FDR-083,Rangpora to Lalchowk,RETAINED_AS_FEEDER,Urban,HP,20,7,0,0,7,False,,8135,False
FDR-401,Qamarwari to Parimpora,RETAINED_AS_FEEDER,Urban,MP,35,5,0,5,0,False,,5922,True
FDR-193,Ma Road to Safakadal,RETAINED_AS_FEEDER,Urban,MP,35,5,0,0,5,False,,6392,True
FDR-153,Rangpora to LD,RETAINED_AS_FEEDER,Peri_Urban,MP,35,5,0,5,0,False,,10013,True
FDR-045,Soura to Lalchowk,RETAINED_AS_FEEDER,Urban,HP,20,5,0,5,0,False,,5897,False
FDR-319,Ma Road to Parimpora,RETAINED_AS_FEEDER,Peri_Urban,MP,35,4,0,4,0,False,,8013,False
FDR-505,Srinagar to Shanglipora,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10687,False
FDR-461,Srinagar to Isganderpora,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,9866,False
FDR-457,Srinagar to Aboora,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,10179,False
FDR-527,Srinagar to Arizal,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10562,False
FDR-448,Srinagar to Baderkote,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,14292,False
FDR-509,Srinagar to Loolpora,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10374,False
FDR-379,Srinagar to Beeru,RETAINED_AS_FEEDER,Regional_District,MP,35,3,1,2,0,False,,6941,False
FDR-033,Srinagar to Ratnipora,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,7834,False
FDR-432,Srinagar to Ratsun,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,9725,False
